Time,Phrase,Site,Count
2017-3-27 18:19:7,Notre,http://www.cnn.com/,0
2017-3-27 18:19:7,Cub Scouts,http://www.cnn.com/,0
2017-3-27 18:19:7,CSE30341,http://www.cnn.com/,0
2017-3-27 18:19:7,Operating,http://www.cnn.com/,0
2017-3-27 18:19:7,Systems,http://www.cnn.com/,0
2017-3-27 18:19:7,Striegel,http://www.cnn.com/,0
2017-3-27 18:19:7,Thain,http://www.cnn.com/,0
2017-3-27 18:19:7,the,http://www.cnn.com/,136
2017-3-27 18:19:7,Notre,http://www.nd.edu/,105
2017-3-27 18:19:7,Cub Scouts,http://www.nd.edu/,0
2017-3-27 18:19:7,CSE30341,http://www.nd.edu/,0
2017-3-27 18:19:7,Operating,http://www.nd.edu/,0
2017-3-27 18:19:7,Systems,http://www.nd.edu/,0
2017-3-27 18:19:7,Striegel,http://www.nd.edu/,0
2017-3-27 18:19:7,Thain,http://www.nd.edu/,0
2017-3-27 18:19:7,the,http://www.nd.edu/,154
